name,om,ob,h,ns,s8,Mnu,w,DC,simulation,IC,nc,nv
fiducial,0.3175,0.049,0.6711,0.9624,0.834,0,-1,0,standard,2LPT,512,0
fiducial_ZA,0.3175,0.049,0.6711,0.9624,0.834,0,-1,0,standard,zeldovich,512,0
fiducial_LR,0.3175,0.049,0.6711,0.9624,0.834,0,-1,0,standard,2LPT,256,0
fiducial_HR,0.3175,0.049,0.6711,0.9624,0.834,0,-1,0,standard,2LPT,1024,0
Om_p,0.3275,0.049,0.6711,0.9624,0.834,0,-1,0,standard,2LPT,512,0
Om_p,0.3275,0.049,0.6711,0.9624,0.834,0,-1,0,paired_fixed,2LPT,512,0
Om_m,0.3075,0.049,0.6711,0.9624,0.834,0,-1,0,standard,2LPT,512,0
Om_m,0.3075,0.049,0.6711,0.9624,0.834,0,-1,0,paired_fixed,2LPT,512,0
Ob2_p,0.3175,0.051,0.6711,0.9624,0.834,0,-1,0,standard,2LPT,512,0
Ob2_p,0.3175,0.051,0.6711,0.9624,0.834,0,-1,0,paired_fixed,2LPT,512,0
Ob_p,0.3175,0.050,0.6711,0.9624,0.834,0,-1,0,paired_fixed,2LPT,512,0
Ob_m,0.3175,0.048,0.6711,0.9624,0.834,0,-1,0,paired_fixed,2LPT,512,0
Ob2_m,0.3175,0.047,0.6711,0.9624,0.834,0,-1,0,standard,2LPT,512,0
Ob2_m,0.3175,0.047,0.6711,0.9624,0.834,0,-1,0,paired_fixed,2LPT,512,0
h_p,0.3175,0.049,0.6911,0.9624,0.834,0,-1,0,standard,2LPT,512,0
h_p,0.3175,0.049,0.6911,0.9624,0.834,0,-1,0,paired_fixed,2LPT,512,0
h_m,0.3175,0.049,0.6511,0.9624,0.834,0,-1,0,standard,2LPT,512,0
h_m,0.3175,0.049,0.6511,0.9624,0.834,0,-1,0,paired_fixed,2LPT,512,0
ns_p,0.3175,0.049,0.6711,0.9824,0.834,0,-1,0,standard,2LPT,512,0
ns_p,0.3175,0.049,0.6711,0.9824,0.834,0,-1,0,paired_fixed,2LPT,512,0
ns_m,0.3175,0.049,0.6711,0.9424,0.834,0,-1,0,standard,2LPT,512,0
ns_m,0.3175,0.049,0.6711,0.9424,0.834,0,-1,0,paired_fixed,2LPT,512,0
s8_m,0.3175,0.049,0.6711,0.9624,0.849,0,-1,0,standard,2LPT,512,0
s8_m,0.3175,0.049,0.6711,0.9624,0.849,0,-1,0,paired_fixed,2LPT,512,0
s8_p,0.3175,0.049,0.6711,0.9624,0.819,0,-1,0,standard,2LPT,512,0
s8_m,0.3175,0.049,0.6711,0.9624,0.849,0,-1,0,paired_fixed,2LPT,512,0
Mnu_ppp,0.3175,0.049,0.6711,0.9624,0.834,0.4,-1,0,standard,zeldovich,512,512
Mnu_ppp,0.3175,0.049,0.6711,0.9624,0.834,0.4,-1,0,paired_fixed,zeldovich,512,512
Mnu_pp,0.3175,0.049,0.6711,0.9624,0.834,0.2,-1,0,standard,zeldovich,512,512
Mnu_pp,0.3175,0.049,0.6711,0.9624,0.834,0.2,-1,0,paired_fixed,zeldovich,512,512
Mnu_p,0.3175,0.049,0.6711,0.9624,0.834,0.1,-1,0,standard,zeldovich,512,512
Mnu_p,0.3175,0.049,0.6711,0.9624,0.834,0.1,-1,0,paired_fixed,zeldovich,512,512
w_p,0.3175,0.049,0.6711,0.9624,0.834,0,-1.05,0,standard,zeldovich,512,0
w_m,0.3175,0.049,0.6711,0.9624,0.834,0,-0.95,0,standard,zeldovich,512,0
DC_p,0.3175,0.049,0.6711,0.9624,0.834,0,-1,0.035,standard,2LPT,512,0
DC_m,0.3175,0.049,0.6711,0.9624,0.834,0,-1,-0.035,standard,2LPT,512,0
